Country,Climate Stress Index
Saint Lucia,0.5078294064350802
Saint Vincent and the Grenadines,0.4834528957324740
Samoa,0.4910161794286154
San Marino,0.5545810000000000
Sao Tome and Principe,0.4827434199995490
Saudi Arabia,0.5545810000000000
Senegal,0.5014046060046597
Serbia,0.5504940648261392
Seychelles,0.4751065258673114
Sierra Leone,0.4934584251196246
Singapore,0.5039983229430705
Slovakia,0.5319491258357791
Slovenia,0.5545810000000000
Solomon Islands,0.4800706550925495
Somalia,0.4968322337880852
South Africa,0.4853410000000000
South Korea,0.4556586397184559
South Sudan,0.4928096549237374
Spain,0.5435889845283535
Sri Lanka,0.5058075443631925
Sudan,0.4942106236565807
Suriname,0.5318704410889229
Sweden,0.5021575738837376
Switzerland,0.5545810000000000
Syria,0.5382454562028732
Taiwan,0.5545810000000000
Tajikistan,0.4818690909413522
Tanzania,0.4814830979698517
Thailand,0.5146273351442241
Timor-Leste,0.5282075490502638
Togo,0.4951743825290582
Tonga,0.5339133607004855
Trinidad and Tobago,0.5135558162953172
Tunisia,0.5363373817423196
Turkey,0.4931342923043046
Turkmenistan,0.4498370949780556
Tuvalu,0.4925757188607637
Uganda,0.5496494035448797
Ukraine,0.4880176443658278
United Arab Emirates,0.4760339478939880
United Kingdom,0.5209420000000000
United States,0.4996210000000000
Uruguay,0.4954197814491131
Uzbekistan,0.5139569019495842
Vanuatu,0.4839353387780738
Vatican City,0.5121460325210071
Venezuela,0.5082013086932439
Vietnam,0.5006579582213262
Yemen,0.4501193088314449
Zambia,0.4927417144208726
Zimbabwe,0.5293600002172961
